%MEM   RSS
 1.0 170920
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
25.8 4228196
%MEM   RSS
 0.0     0
